Gene	B6_E14_lung_rep2_TAGCTCG-TAGTAGA_R1.final	B6_E10_limb_rep2_GGACATT-ACTCCTA_R1.final	B6_E10_trunk_rep2_TCCACGT-GTTTAGT_R1.final	B6_E10_head_rep1_GACTTGC-GAACCGT_R1.final	B6_E10_limb_rep1_CCACTCG-CCGAATT_R1.final	B6_E14_palate_rep1_ACTCTTT-CTTCATT_R1.final	B6_E10_limb_rep3_CGGTTTG-AAGCCTT_R1.final	B6_E14_palate_rep2_AAGTTTC-GCTTCCT_R1.final	B6_E14_lung_rep1_AGATCAG-ATGGAAC_R1.final	B6_E10_trunk_rep3_GCGTTCA-GCAATAT_R1.final	B6_E10_head_rep3_CTCCTAG-AGGTAGG_R1.final	B6_E10_trunk_rep1_AGCTTAT-GCTCCTC_R1.final
Zfp60	16.66	23.77	19.51	16.19	15.66	19.5	16.64	16.33	13.46	28.85	19.03	15.67
Mipol1	6.44	7.91	6.88	4.96	5.79	8.49	5.81	6.26	5.15	8.33	6.07	5.44
AK182924	0	0	0	0	0	0	1.53	0	0.78	0	9.85	0
AK219587	72.06	76.31	94.7	77.71	68.39	58.69	51.73	72.88	77.38	85.98	84.89	59.44
Mir1955	0	0	0	0	0	0	0	0	0	0	0	0
AK191498	4.65	0	0	2.86	0	0	0	2.19	0	0	1.8	0
Olfr435	0	0	0	0	0	0	0	0	0	0.1	0	0
Def6	1.16	4.77	1.48	1.32	3.66	4.47	3.75	4.68	1.53	1.71	1.2	1.73
Trio	13.82	30.21	22.79	17.34	22.07	42.64	23.3	33	12.52	37.49	23.46	18.9
AK163775	1.03	1.4	1.82	1.18	0.91	2.5	1.08	1.19	0.49	1.3	1.22	1.45
DQ697546	0	0	0	0	0	0	0	0	0	0	0	0
AB344750	0	0	0	0	0	0	0	0	0	0	0	0
DQ685694	0	0	0	0	0	0	0	0	0	0	0	0
Dnah12	0	0	0	0	0	0	0	0	0	0	0	0
Vit	0.46	0.13	0.97	2.2	0.08	1.2	0	1.54	0.2	2.35	2.15	1.26
4930434J06Rik	0	0	0.05	0	0	0	0.05	0	0	0	0	0
Mir5135	0	0	0	0	0	0	0	0	0	0	0	0
Dpy19l3	4.64	5.42	4.49	3.91	4.28	5.69	4.89	5.08	3.67	5.51	4.74	3.6
DQ723701	0	0	0	0	0	0	0	0	0	0	0	0
Clk1	69.96	110.18	70.05	57.54	81.78	100.63	81.69	89.19	54.14	85.47	55.79	60.68
Nobox	0.03	0	0.04	0.04	0.04	0.17	0	0.04	0.15	0.05	0	0
Zfp36l1	43.35	35.47	39.23	27.92	25.4	54.19	26.58	49.53	35.48	61.56	38.03	31.68
AK019290	4.16	2.54	0.12	0	2.36	4.92	0	0	0	1.92	7.31	0
Gm13498	0	0	0.07	0	0.02	0	0.02	0	0	0.13	0.08	0.05
Olfr845	0	0	0	0	0	0	0	0.08	0	0	0.2	0
Trim38	0	0.12	0	0.05	0.03	0	0.05	0	0.08	0	0.12	0.08
Nwd1	0.19	0.02	0.04	0.08	0.06	0.25	0.02	0.3	0.2	0.1	0.13	0.01
Ndufs3	100.24	111.96	106.18	81.04	97.63	77.83	104.89	92.46	94.2	96.26	80.11	87.36
Mfng	10.44	4.99	13.96	15.45	2.58	9	3.08	8.24	8.58	17.36	15.15	12.71
Mir7229	0	0	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	0.13	0.42	1.03	0.17	0.09	0.78	0.09	0.35	0.14	0.89	0.87	0.54
AK087743	0.7	1.12	0.68	0.72	0.62	1.62	0.79	1.38	0.36	1.33	0.84	0.8
Xdh	0.38	0.76	0.27	0.39	0.49	0.71	0.58	0.57	0.29	0.98	0.8	0.36
Crisp2	0	0	0	0.05	0	0	0	0.05	0	0	0	0
2310034C09Rik	0	0	0	0	0	0	0	0	0	0.1	0	0
Matk	1.13	2.63	1.67	1.99	1.25	3.09	1.35	3.93	0.98	1.84	1.63	1.33
AK049221	0.05	0.11	0	0.04	0.01	0.07	0.02	0	0	0.03	0.06	0.02
AK047433	0.4	1.16	0.78	0.6	0.77	0.81	0.69	0.63	0.13	0.64	0.93	0.61
Npc1l1	0	0	0.02	0.01	0.05	0.02	0.08	0.02	0.01	0.08	0.06	0.01
Rbak	6.08	9.97	6.85	5.45	7.36	9.38	8.09	7.97	5.3	9.7	6.45	6.56
Tlr13	0.65	0.29	0.07	0.1	0.17	0.41	0.1	0.33	0.71	0.09	0.04	0.11
DQ560232	0	0	0	0	0	0	0	0	0	0	0	0
C4bp	0.03	0	0	0	0	0	0	0.04	0	0	0	0
Gm19466	0.32	0.26	0.52	0.18	0.11	0.64	0.27	0.43	0.24	0.51	0.34	0.26
Gm5464	1.01	2.32	1.89	1.69	1.69	1.13	1.58	1.5	0.84	2.57	1.19	1.6
Adam21	0.12	0.15	0.31	0.28	0.16	0.34	0.29	0.39	0.05	0.38	0.21	0.3
Fpr-rs3	0	0.09	0	0	0.11	0	0	0	0	0	0	0
Olfr985	0	0.16	0	0	0.07	0	0	0	0	0	0	0
Vmn2r52	0	0.03	0	0	0.03	0.08	0.03	0	0	0	0	0.02
Gm8709	0	0.16	0.13	0.12	0	0	0.22	0.06	0.24	0.23	0.15	0.05
Tmem143	6.86	7.54	7.23	5.91	5.9	5.76	6.04	6.54	5.62	8.66	5.59	6.74
Uimc1	12.55	16.44	14.96	9.35	10.6	12.74	11.48	12.1	9.84	18.33	9.18	11.84
Baiap2l2	0.51	0.5	0.37	0.43	0.24	1.54	0.47	1.39	0.63	0.62	0.38	0.37
Ndufaf8	38.89	28.42	30.46	33.92	28.89	30.61	32.38	30.19	33.1	21.14	21.59	31.41
DQ553121	0	0	0	0	0	0	0	0	0	0	0	0
Pgm3	14.37	16.9	13.93	11.22	12.04	13.68	13.49	12.3	12.81	16.7	13.43	11.95
KY964569	0	0	0	0	0	0.77	0	0	0	0	0	0
Prss21	0	0	0	0	0	0	0	0	0	0.09	0.17	0
Rgs18	0.72	0.51	0.57	0.78	0.48	1.27	0.47	0.7	0.52	0.39	0.62	0.48
Oas1g	0.19	0.06	0	0	0.08	0	0	0	0.03	0.2	0.14	0
DQ686580	0	0	0	0	0	0	0	0	0	0	0	0
Shb	8.43	10.01	9.22	7.77	9.08	7.25	9.2	7.96	7.12	14.09	8.4	7.78
4930579H20Rik	0	0.06	0.05	0	0.05	0.36	0.09	0.1	0.04	0.06	0.06	0.04
Mterf1a	4.73	5.77	4.73	3.62	4.57	2.67	5.11	3.47	3.32	5.77	3.43	4.04
Mir126b	0	0	0	0	0	0	0	0	0	0	0	0
AB336690	0	0	0	0	0	0	0	0	0	0	0	0
Zfp369	7.58	14.19	11.07	8.94	10.91	12.59	10.98	10.44	5.49	16.11	12.23	8.73
BC042407	0	0	0	0	0	0.72	0	0	0	0	0	0
Rhox4c	0	0	0	0	0	0	0	0	0	0.11	0	0
Hgfac	0.49	0.16	0.16	0.09	0.21	0.34	0.21	0.23	0.08	0.29	0.53	0.15
Fkbp3	198.3	278.57	280.25	228.82	229.67	121.16	236.38	131.53	167.17	331.1	214.36	220.1
Mir6539	0	0	0	0	0	0	0	0	0	0	0	0
AK164412	0.27	0.59	0.46	0.31	0.31	1.81	0.37	1.03	0.34	0.87	0.34	0.34
Dnase1l1	2.72	2.43	1.76	1.2	2.28	4.19	1.99	3.27	2.32	1.82	1.66	1.82
Gm15881	0	0.04	0.18	0.04	0.06	0.38	0.04	0.41	0	0.09	0.09	0.06
Slc17a4	0	0	0	0	0.03	0	0.04	0	0	0	0.04	0.04
Dnajc18	9.3	11.16	8.9	7.16	8.93	11	8.21	11.34	7.85	11.78	8.87	7.48
Crhr1	0	2.07	0.14	0.05	0.94	0.04	1.37	0.17	0	0.56	0.14	0.24
Grip1os1	0.09	0.08	0.97	0.2	0.09	1.18	0.17	0.87	0.43	0.35	0.4	0.42
Mir34c	0	0	0	0	0	0	0	0	0	0	0	0
DQ558425	0	0	0	0	0	0	0	0	0	0	0	0
Mbl2	0	0	0.07	0.07	0.11	0.1	0	0	0	0	0.09	0.05
Fam102a	9.96	10.88	10.51	8.12	8.31	10.81	9.23	10.23	8.57	14.46	8.22	7.49
BC038927	0	0.1	0	0.03	0.04	0.08	0.22	0	0	1.24	0.17	0
DQ706339	0	0	0	0	0	0	0	0	0	0	0	0
AK076358	0.53	1.05	0.77	0.5	0.79	0.91	0.85	0.6	0.43	1.01	0.75	0.75
Slco6c1	0	0	0	0	0	0	0.01	0.03	0	0	0	0
Myl2	0.85	0	0.25	0.12	0.06	0.38	0	0	2.11	0.16	0.47	0.29
Olfr214	0	0.19	0	0	0	0	0.08	0	0	0	0.2	0
Sdf2	38.97	37.86	32.33	25.24	34.06	41.83	33.96	43.02	39.25	26.59	22.5	27.5
DQ725586	0	0	0	0	0	0	0	0	0	0	0	0
Slc35c1	1.78	1.14	1.91	1.72	1.21	2.42	1.05	2.52	1.65	3.12	1.95	1.65
Gm4027	0	0	0.12	0	0.12	0	0	0	0	0	0.3	0
AK148766	2.67	3.15	3.48	1.68	2.12	3.56	2.11	1.13	2.15	3.56	1.24	1.91
Cngb1	0.07	0.11	0.11	0.04	0.01	0.07	0.04	0.13	0.05	0.16	0.12	0.09
Minos1	14.62	9.93	10.65	10.24	11.18	11.32	12.2	12.63	12.53	11.21	9.96	9.89
BC044868	0	0	0	0	0.04	0	0	0	0	0	0	0
Cib2	16.54	13.6	6.12	9.17	12.59	18.96	13.95	19.67	16.8	7.78	5.83	4.76
A930003A15Rik	0.22	0	0.13	0.14	0.04	0.44	0.11	0.82	0.35	0.09	0.18	0.25
Samt4	0	0	0	0	0	0	0	0	0	0	0	0
BC034090	3.64	5.68	6.33	3.7	3.9	4.19	4.46	4.38	2.92	8.42	3.87	4.96
Ifngr2	19.65	19.22	10.4	10.45	14.26	24.16	15.6	24.34	19.22	13.59	8.69	10.51
Mir6944	0	0	0	0	0	0	0	0	0	0	0	0
Mir7683	0	0	0	0	0	0	0	0	0	0	0	0
Amigo2	2.34	2.59	3.49	1.86	1.84	4.87	1.83	3.75	1.66	4.15	2.73	2.27
AK048498	0.95	2.39	2.57	1.8	1.28	2.13	0.96	1.53	0.54	3.14	0.79	1.29
Mir3078	0	0	0	0	0	0	0	0	0	0	0	0
Colgalt1	49.78	41.38	33.67	29.84	30.4	46.42	31.91	46.84	47.63	40.38	26.77	30.06
AK081414	0.15	0.2	0.2	0.18	0.15	0.03	0.29	0.2	0.11	0.26	0.18	0.31
Syt2	0.12	0.11	1.39	1.1	0.16	0.73	0.2	2.47	0.23	2.12	1.98	1.18
Ppp1cc	232.9	360.05	342.21	269.22	281.03	178.73	283.19	186	219.8	389.44	276.52	276.26
Trim32	21.65	33.2	22.91	21.29	24.74	23.12	25.38	25.18	18.25	33.21	23.63	20.74
Grk5	5.2	5.97	5.96	5.05	4.91	6.32	5.43	6.06	4.29	8.09	6.74	4.89
Zscan4d	0	0	0	0	0	0	0	0	0	0.18	0	0
M31649	0	0	0	0	0	0	0	0	0	0.34	0	0
Vmn2r97	0	0	0	0	0.03	0	0	0	0	0	0	0
Zfand4	2.55	2.69	2.62	2.99	2.07	2.3	2.7	2.56	1.83	2.72	2.44	1.97
Mir3544	0	0	0	0	0	0	0	0	0	0	0	0
Pspn	0.41	0.88	1.26	0.7	1.55	1.35	0.98	0.73	1.72	1.86	1.58	1.26
DQ704916	0	0	0	0	0	0	0	0	0	0	0	0
Churc1	44.97	50.54	59.65	49.52	53.43	42.99	46.69	41.5	44	49.11	48.34	46.12
EG547347	0	0	0.05	0	0.03	0	0.07	0	0	0	0	0
Zfp444	16.02	21.41	26.2	22.33	19.75	18.1	23.18	17.83	15.25	24.38	20.08	18.94
AK032717	0.45	0.29	0.43	0.23	0.2	1.37	0.16	1.05	0.06	0.46	0.3	0.62
AK037193	1.41	2.15	2.6	1.68	1.8	5	1.55	2.8	1.15	4.54	3.42	1.92
Gm1322	0	0	0	0	0	0	0	0	0	0	0	0
Pinx1	14.88	22.45	26.43	17.81	19.29	13.61	19.57	12.68	13.82	34.26	20.53	18.66
Mrps14	22.04	20.39	20.81	19	21.37	14.96	23.79	18.46	21.82	20.7	15.81	18.29
AK035605	0.3	0.52	0.59	0.51	0.5	0.74	0.4	0.66	0.18	0.55	0.49	0.48
AK131876	0	0	0	0	0	0	0	0	0	0	0.08	0
Lcn9	0	0	0	0.09	0	0	0.04	0	0	0	0.11	0
Oasl2	0.48	0.2	0.07	0.07	0.21	0.67	0.36	0.34	0.35	0.38	0.06	0.19
Syf2	43	58.47	49.21	38.95	42.64	43.61	46.81	45.58	40.08	53.86	34.31	38.86
Setmar	3.03	4.83	3.8	3.41	4.29	3.41	3.67	4.47	3.75	5.09	3.59	3.22
DQ688885	0	0	0	0	0	0	0	0	0	0	0	0
DQ689368	0	0	0	0	0	0	0	0	0	0	0	0
Saxo2	1.6	2.2	1.63	0.53	1.58	2.02	1.19	2.77	0.99	1.81	1.06	1.95
AK202301	54.99	56.11	44.01	33.61	40.3	45.3	41.26	39.58	45.68	64.73	35.3	34.56
Gm12128	0	0	0.02	0	0	0	0	0.02	0	0	0	0
2810404M03Rik	0	0	0.12	0	0.09	0	0.15	0.06	0	0	0	0
Tmem252	1.36	0.36	0.28	0.27	0.21	1.12	0.19	1.34	1.51	0.68	0.21	0.42
DQ708261	0	0	0	0	0	0	0	0	0	0	0	0
Fastk	35.47	45.62	41.47	32.26	33.13	36.12	34.05	37.18	31.32	54.53	29.38	33.08
DQ705933	0	0	0	0	0	0	0	0	0	0	0	0
Faf1	20.11	31.57	31.12	27.42	25.56	22.36	24.33	21.77	18.61	38.83	28.04	24.3
Cntf	1.4	2.88	2.61	1.66	1.93	1.38	2.29	2.1	1.26	3.35	2.19	1.73
Gm10731	0	0	0	0	0	0	0	0	0	0	0.15	0.15
Ubqln2	13.6	17.15	24.08	22.9	12.78	17.54	14.51	15.3	9.07	41.84	32.9	20.06
Sbk3	1.11	0.03	0	0	0.06	0	0.1	0.09	1	0.14	0.08	0
AK089540	0.49	0.35	1.15	0.28	0.33	0.87	0.39	0.44	0.34	1.94	0.99	0.84
Foxp1	17.38	20.21	26.78	16.81	19.69	22.47	19.25	23.45	15.68	38.18	17.29	20.55
Atrip-trex1	12.07	15.3	14.17	10.59	12.56	12.22	11.71	11.96	10.27	18.44	13.74	11.35
DQ701717	0	0	0	0	0	0	0	0	0	0	0	0
Npc2	64.35	47.66	46.03	36.51	41.28	41.06	45.2	42.92	59	41.63	36.41	37.71
DQ714397	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1163	0	0	0	0	0	0	0	0	0	0.09	0	0
Hoxd3os1	0	16.09	43.45	0.19	11.78	2.65	14.95	1.6	0.17	29.42	0	23.42
Akap10	8.49	11.3	11.14	9.11	8.48	11.7	9.47	9.93	7.52	16.46	9.35	8.52
Gml	0	0	0	0	0.13	0	0.08	0.09	0	0	0	0
Olfr1241	0	0	0	0	0	0	0	0	0	0	0	0
Sec23a	42.2	40.54	30.12	21.79	31.78	42.99	33.9	41.63	38.88	42.3	24.9	24.76
Daxx	18.42	29.49	26.89	23.3	22.97	18.25	24.51	18.95	17.24	39.15	22.99	22.65
Cul4a	55.84	78.85	75.65	52.15	61.54	87.79	64.33	68.91	47.43	111.37	78.62	59.55
Uchl3	54	77.41	70.53	55.75	62.02	37.37	65.49	41.37	53.58	78.14	52.95	58.91
Mettl14	7.28	13.15	13.82	10.49	9.92	10.69	10.52	9.9	5.99	18.06	12.43	9.92
AK033180	0.7	0.67	1.04	0.14	0.46	1.51	0.56	0.54	0.49	0.8	0.37	1.02
Rnf167	18.64	32.28	26.79	20.16	25.03	33.28	25.78	28.98	17.32	32.14	21.41	20.95
Olfr48	0	0	0	0	0	0	0	0.08	0	0.11	0	0
DQ686454	0	0	0	0	0	0	0	0	0	0	0	0
Krt81	0	0	0	0.07	0.04	0	0.02	0.04	0	0.06	0	0
Ccdc74a	1.03	1.68	1.08	0.95	1.39	2.06	0.9	1.74	0.64	2.28	1.07	0.93
Mtus2	1.27	1.99	1.28	0.6	1.22	2.72	1.46	3.11	1.5	1.6	1.2	1.03
Rps19bp1	32.14	35.53	44.74	34.46	32.5	26.66	35.54	25.85	30.88	39.46	33.23	31.98
Olfr944	0	0	0	0	0	0	0	0	0	0	0.1	0
DQ727348	0	0	0	0	0	0	0	0	0	0	0	0
Def8	12.18	18.19	14.71	12.06	13.33	16.08	13.77	15.41	12.29	20.51	13.79	11.4
Camta1	5.04	6.52	9.3	6.49	5.77	10.92	5.71	8.38	4.59	11.27	11.36	7.19
Zfp429	2.05	2.6	1.78	1.7	2.29	3.91	2.38	2.87	2.21	1.59	1.8	1.69
Krtap31-2	0	0	0	0	0	0	0	0	0	0	0.2	0
Nmur2	0	0	0	0	0	0	0	0.04	0	0.11	0.11	0.03
Vmn2r112	0	0	0	0	0	0	0.06	0	0	0.04	0.07	0
Mir741	0	0	0	0	0	0	0	0	0	0	0	0
LOC102634389	0.32	0.91	0.53	0.21	0.48	1.76	0.58	1.62	0.34	0.55	0.67	0.58
Ankrd60	0	0	0	0	0	0	0.07	0	0	0.09	0.35	0
Mir1912	0	0	0	0	0	0	0	0	0	0	0	0
1500009C09Rik	0.07	0.23	0.23	0.63	0.14	0.07	0.07	0.8	0.22	0.48	1.1	0.29
E330014E10Rik	0	0.08	0	0.04	0.02	0	0.1	0	0	0.16	0.3	0
DQ717768	0	0	0	0	0	0	0	0	0	0	0	0
DQ546244	0	0	0	0	0	0	0	0	0	0	0	0
Gm4871	0	0	0	0	0.03	0	0	0	0	0	0	0
BC044745	22.81	43.93	62.12	51.24	40.34	75.46	39.63	46.79	20.71	65.13	77.76	42.21
AK017306	0.05	0	0.12	0	0.03	0	0.12	0	0.15	0.25	0.15	0.19
4930407I10Rik	0	0.09	0	0	0.06	0.04	0.04	0.03	0	0.04	0.24	0.03
Nisch	77.23	101.94	112.79	85.28	77.09	107.97	84.64	98.65	72.42	156.26	102.36	91.52
Clec12a	0.91	0.35	0.06	0.06	0.16	1.24	0.17	0.55	0.89	0.08	0.16	0.02
Ercc8	11.95	17.89	17.32	14.72	14.34	9.17	15.07	10.15	10.57	19.86	13.54	11.56
Olfr1367	0	0	0	0	0	0	0	0	0	0	0	0
Rnf144a	21.9	23.48	19.63	14.98	17.51	21.37	17.59	19.79	19	29.11	19.65	16.35
DQ724531	0	0	0	0	0	0	0	0	0	0	0	0
Ctps2	9.29	12.95	7.56	6.33	9.54	9.76	10.41	8.2	7.3	9.88	6.59	6.68
Olfr1316	0	0.1	0	0	0.08	0	0	0	0	0	0	0
DQ690082	0	0	0	0	0	0	0	0	0	0	0	0
Man2a2	14.98	17.7	14.18	10.67	13.97	23.77	13.87	20.6	14.2	18.32	12.53	12.28
Gcg	0.1	0.25	0	0	0.14	0	0.27	0	0.16	3.85	0.08	0.42
B230206H07Rik	0	0	0.05	0.05	0.08	0.18	0.07	0.05	0.06	0.1	0.07	0.02
Psmd3	53.67	75.95	89.05	72.16	62.04	50.75	65.66	55.71	53.78	106.35	71.57	68.26
Zdhhc24	3.74	4.42	4.14	4.2	3.63	5.27	3.29	4.25	3.1	6.2	4.41	3.71
Col25a1	7.72	14.42	3.6	4.05	9.17	15.11	10.82	15.86	6.44	5.2	1.77	3.67
DQ692884	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl33	137.67	112.27	118.53	99.95	110.24	89.35	116.14	90.13	132.14	91.85	72.5	89.45
Manf	53.09	61.3	71.76	55.23	56.89	38.88	61.75	42.16	49.91	63.5	54.61	55.59
Olfr345	0	0	0	0	0	0	0.04	0	0	0	0	0
Dtwd1	8.75	13.12	9.6	7.64	9.74	7.34	9.52	8.36	7.9	9.7	6.1	8.4
Dner	0.04	0.61	0.78	1.15	0.39	2.58	0.33	3.33	0.26	1.18	1.62	1.25
Pde12	10.63	16.62	13.57	11.54	12.3	11.59	12.65	10.37	9.52	19.64	11.59	11.09
DQ696965	0	0	0	0	0	0	0	0	0	0	0	0
Hipk1	15.88	19.74	19.41	15.02	14.88	23.52	15.63	18.94	13.73	34.28	20.86	15.82
Tmem14a	4.18	3.95	4.1	2.56	3.63	5.03	4.09	3.4	3.92	3.83	3.05	3.46
Cdh23	0.18	0.52	1.67	0.19	0.45	0.48	0.47	0.72	0.1	0.73	0.42	0.28
Spata45	0	0	0	0	0	0	0	0	0	0	0	0
Nuak2	1.82	0.41	6.47	6.91	0.29	1.28	0.25	1.34	1.46	10.18	9.74	4.29
Neb	0.45	1.95	1.66	0.26	1.65	12.71	1.39	12.85	2.11	2.58	0.54	2.45
Gm19583	0	0	0	0	0.05	0	0.05	0	0	0	0	0.04
Gpr21	1.6	1.39	2.4	1.25	1.83	3.97	1.75	2.45	0.74	2.83	2.3	1.98
Vps11	13.34	17.78	14.85	11.88	13.92	15.59	14.39	16.03	11.09	20.99	13.61	12.94
AK035820	0.05	0.18	0.21	0.08	0.08	0.75	0.15	0.42	0	0.36	0.22	0.1
DQ698761	0	0	0	0	0	0	0	0	0	0	0	0
Nsrp1	10.13	18.55	16.68	12.48	12.71	15.04	13.71	12.64	8.76	21.77	13.77	13.01
DQ547719	0	0	0	0	0	0	0	0	0	0	0	0
Uroc1	0.02	0.28	0.04	0.02	0.09	0	0.15	0.02	0	0.11	0	0
Dusp23	2.73	2.19	3.67	2.44	2.95	3.46	2.32	3.89	1.83	4.22	3.13	3.41
DQ714734	0	0	0	0	0	0	0	0	0	0	0	0
Olfr166	0	0	0	0	0	0.12	0.02	0	0	0	0	0
AB346771	0	0	0	0	0	0	0	0	0	0	0	0
AK135313	1.24	2.68	3.95	2.66	2.14	4.5	1.76	2.11	1.1	3.96	2.94	3.13
Rnf123	5.48	7.78	7.95	6.21	6.09	9.9	6.58	8.66	4.89	10.86	6.67	7.56
Pex10	8.6	9.16	11.49	7.2	9.74	7.34	11.19	9.06	7.88	8.24	8.06	8.44
DQ723262	0	0	0	0	0	0	0	0	0	0	0	0
Vim	461.76	318.87	508.91	427.18	256.27	602.83	268.82	631.09	443.14	680.86	604.54	419.56
Ttl	12.91	19.11	14.21	8	13.54	15.44	14.82	13.29	11.25	19.17	9.46	11.85
Ncdn	11.57	17.08	16.4	11.54	11.28	14.61	12.31	15.25	10.93	26.59	14.55	13.42
Bsnd	0	0.03	0	0	0.05	0	0.01	0	0	0.03	0	0
AK033525	1.67	2.87	3.68	2.8	1.52	4.48	2.38	2.25	1.42	4.39	3.03	1.64
DQ555936	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf17	7.27	9.94	10.08	8.48	6.88	8.73	7.38	8.35	5.65	13	9.87	7.39
Sult2a4	0	0	0	0	0	0	0	0	0	0	0	0
Rnf182	0.54	1.28	1.1	0.86	0.9	2.99	1.03	2.69	0.53	1.91	1.73	0.76
Tcf23	0.11	0.04	0.03	0.02	0.03	0	0.05	0.02	0.23	0.02	0.04	0.01
Mir8092	0	0	0	0	0	0	0	0	0	0	0	0
Fcf1	69.62	89.3	82.63	61.16	86.93	55.28	89.53	50.39	75.38	75.77	67.81	73.93
DQ699830	0	0	0	0	0	0	0	0	0	0	0	0
Ets2	35.34	62.6	18.73	12.15	47.23	36.95	48	32.05	28.88	37.26	11.19	19.41
AK019630	0.11	0.99	0.15	0.64	0.85	1.42	0.91	1.06	0	0.21	0.38	0.7
B4galt2	22.26	29.55	26.34	20	21.61	28.31	23	31.56	22.28	31.19	18.55	18.52
4930567K20Rik	0	0	0	0	0	0	0.11	0	0	0	0.28	0
Rsph3b	14.49	15.68	17.14	14.36	14.76	19.73	13.58	14.77	10.48	24.71	21.54	13.03
Sgsh	2.5	3.58	2.95	2.36	2.35	3.12	2.2	2.49	2.54	4.12	2.55	2.19
DQ706206	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r211	0	0	0	0	0	0	0.04	0	0	0	0	0
Actr8	23.12	33.7	29.14	23.8	24.37	20.46	25.27	22.87	18.43	39.24	24.67	21.99
Ntm	4.58	4.31	5.8	2.78	2.62	8.24	3.45	9.64	4.61	6.17	2.93	5.14
7420426K07Rik	0	0.06	0	0	0.02	0	0	0	0	0	0.06	0
Olfr582	0	0	0	0	0.04	0	0.12	0	0	0	0.1	0
Bcap29	6.56	8.06	5.72	5	5.51	6.54	5.62	6.35	5.51	6.67	4.78	4.97
Tmem176a	58.23	10.17	6.81	4.95	10.6	18.84	11.82	19.72	45.37	6.16	4.83	6.29
Eef2k	7.81	11.07	8.75	11.77	7.15	18	8.25	15.36	7.33	13.03	8.36	7.92
Tacc1	15.59	11.08	15.32	11.7	7	14.65	9.39	12.4	9.66	21.35	15.88	12.03
Rnf181	30.88	36.91	41.24	30.18	29.94	26.86	33.57	26.13	30.88	44.77	31.95	32.92
DQ696806	0	0	0	0	0	0	0	0	0	0	0	0
AK038197	0	0	0	0	0	0	0	0	0	0	0	0
AK169497	2.9	6.02	6.61	4.33	3.91	7.55	4.2	4.71	1.87	8.79	6.47	4.8
Gm20554	0.52	0.69	0.6	0.56	0.75	2.14	0.64	1.49	0.32	1.13	0.95	0.58
Iqcj	0.07	0.15	0	0	0.06	0.36	0.13	0.19	0	0	0.11	0
EF154514	0.12	0	0	0	0.04	0	0.08	0	0.09	0	0.06	0
Nphp3	4.83	5.27	4.46	3.49	4.04	7.46	3.9	5.58	4.4	5.6	3.73	3.57
Pgap1	7.21	6.95	5.57	5.7	5.52	8.57	5.63	7.92	5.45	6.94	5.62	5.05
Hspa4	107.65	188.01	164.01	126.53	127.41	92	137.83	87.25	94.83	232.24	133.58	127.12
Parp14	0.68	0.36	0.21	0.2	0.43	1.53	0.42	0.83	0.65	0.33	0.17	0.17
AB339919	0	0	0	0	0	0	0	0	0	0	0	0
AB340034	0	0	0	0	0	0	0	0	0	0	0	0
DQ565516	0	0	0	0	0	0	0	0	0	0	0	0
DQ540543	0	0	0	0	0	0	0	0	0	0	0	0
Cacna1d	3.87	0.54	0.8	0.66	0.47	3.79	0.44	2.52	3.09	0.48	0.8	0.76
Mir704	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb8b	1.51	1.77	0.79	0.44	1.15	1.07	1.06	0.92	1.45	1.18	0.88	0.71
DQ685192	0	0	0	0	0	0	0	0	0	0	0	0
Enpep	34.56	0.36	0.1	0.02	0.26	5.16	0.35	6.29	27.71	0.11	0.04	0.1
DQ710036	0	0	0	0	0	0	0	0	0	0	0	0
DQ560975	0	0	0	0	0	0	0	0	0	0	0	0
Itgb2	0.73	0.74	0.4	0.31	0.55	0.84	0.65	0.56	0.68	0.57	0.83	0.3
Gm14459	0	0	0	0	0	0	0	0	0	0	0	0
Psmg1	47.6	49.41	54.63	43.75	46.03	38.71	54.02	32.45	47.37	50.39	39.21	42.08
Zfp580	4.47	6.33	6.76	4.45	4.08	4.55	4.48	7.03	4.34	9.74	5.46	7.09
DQ684809	0	0	0	0	0	0	0	0	0	0	0	0
Zfp133-ps	0.72	1.68	1.44	1.67	1.5	1.35	1.09	1.47	0.77	1.77	1.2	1.23
Otud5	22.02	38.81	36.75	30.52	29.64	28.75	31.43	29.28	21.45	52.72	28.08	29.51
1700041B01Rik	0	0	0	0	0	0	0	0	0	0.22	0.42	0
Mylk3	2.21	1.5	0.75	0.99	0.83	1.89	1.07	1.22	2.38	0.62	0.78	0.75
Slc31a1	11.49	13.58	13.01	9.33	8.97	10.63	10.71	11.48	10.71	17.18	11.01	9.36
Mrpl46	30.87	40.51	40.79	32.37	34.93	24.77	36.16	26.13	31.9	43.24	28.65	32.94
Ccnb1	119.38	170.28	155.78	117.26	129.99	66.38	137.66	68.04	106.01	200.33	142.34	123.58
Chm	10.59	14.06	8.65	7.71	9.52	10.42	9.31	10.13	9	13.29	8.18	7.6
Ube2t	11.35	16.11	18.26	10.96	13.99	6.86	15.18	8.21	11.01	17.71	11.81	13.73
